Year,Month,GEPU_current
2011,1,110.5388177
2011,2,94.0054391
2011,3,127.2997116
2011,4,115.9089683
2011,5,89.15525459
2011,6,117.4661394
2011,7,156.7964635
2011,8,215.0078702
2011,9,190.540406
2011,10,166.4345935
2011,11,198.132832
2011,12,182.7853674
2012,1,161.9559347
2012,2,142.6275536
2012,3,134.744733
2012,4,127.5578208
2012,5,160.4624701
2012,6,189.2699096
2012,7,160.2318684
2012,8,122.9986279
2012,9,152.101999
2012,10,159.569215
2012,11,173.7452809
2012,12,168.5232374
2013,1,167.8908806
2013,2,125.5678812
2013,3,141.5768749
2013,4,133.6024239
2013,5,106.2986174
2013,6,119.4799808
2013,7,108.4185812
2013,8,118.4322208
2013,9,132.7235606
2013,10,158.6996898
2013,11,96.36825256
2013,12,119.3412931
2014,1,111.0256183
2014,2,98.21648806
2014,3,113.5651867
2014,4,101.6986252
2014,5,104.1769843
2014,6,86.66884638
2014,7,93.23272521
2014,8,99.55375639
2014,9,123.5793329
2014,10,119.2718658
2014,11,114.065319
2014,12,111.5468314
2015,1,136.2045903
2015,2,113.0558727
2015,3,103.9278473
2015,4,102.1156168
2015,5,106.3884579
2015,6,117.3683005
2015,7,128.5895696
2015,8,130.8308531
2015,9,174.3837047
2015,10,125.1696857
2015,11,101.8285159
2015,12,113.0572084
2016,1,149.5683411
2016,2,155.8647654
2016,3,166.2497244
2016,4,144.6005552
2016,5,132.8387187
2016,6,243.4853909
2016,7,236.6098094
2016,8,143.5155279
2016,9,149.0691194
2016,10,134.1471484
2016,11,251.3983561
2016,12,222.4490137
2017,1,265.8651484
2017,2,202.1791681
2017,3,235.4495333
2017,4,181.2806709
2017,5,165.9774222
2017,6,169.677413
2017,7,149.2753979
2017,8,140.9958029
2017,9,157.422309
2017,10,150.5734563
2017,11,155.837835
2017,12,149.5291768
2018,1,151.6216184
2018,2,124.8335407
2018,3,168.4758287
2018,4,157.664365
2018,5,175.9153449
2018,6,178.3628314
2018,7,223.7483224
2018,8,179.9872032
2018,9,195.9720138
2018,10,221.7539167
2018,11,247.2626924
2018,12,270.8640608
2019,1,263.3106104
2019,2,205.6657854
2019,3,250.9666342
2019,4,191.584913
2019,5,241.4976726
2019,6,316.540124
2019,7,262.1874221
2019,8,317.7915897
2019,9,273.8479611
2019,10,258.4197222
2019,11,253.4071227
2019,12,266.1276508
2020,1,227.9841113
2020,2,230.542181
2020,3,356.9761339
2020,4,359.0147427
2020,5,431.7861345
2020,6,328.7583554
2020,7,352.2879828
2020,8,301.662192
2020,9,289.988299
2020,10,307.7364173
2020,11,368.3146759
2020,12,295.6191887
2021,1,280.5627353
2021,2,215.4083532
2021,3,215.263308
2021,4,199.4028794
2021,5,190.3490558
2021,6,178.8938779
2021,7,205.6365099
2021,8,216.4465742
2021,9,205.3965498
2021,10,195.1885237
2021,11,227.9199929
2021,12,266.0889892
2022,1,232.0017095
2022,2,191.8823802
2022,3,330.0704816
2022,4,302.9705169
2022,5,291.3318712
2022,6,275.4064719
2022,7,317.3005005
2022,8,257.098466
2022,9,281.9455819
2022,10,301.2395339
2022,11,332.2763754
2022,12,263.433865
2023,1,247.2939019
2023,2,243.3959109
2023,3,310.6578095
2023,4,231.7368114
2023,5,228.5263241
2023,6,229.8469925
2023,7,226.423069
2023,8,210.9871796
2023,9,243.9732183
2023,10,226.0233089
2023,11,246.6155395
2023,12,255.8296839
2024,1,229.7373961
2024,2,197.3724762
2024,3,177.0333071
2024,4,185.6621923
2024,5,203.1243658
2024,6,214.7720902
2024,7,235.1684499
2024,8,226.6723114
2024,9,224.9575559
2024,10,225.1592118
2024,11,365.6033865
2024,12,374.8611228
