Date,VNI_Volume,VNI_Open price,VNI_High price,VNI_Low price,Predicted VNI_Close price
2024-08-13,539120,1229.81,1231.55,1223.01,1218.3613
2024-08-14,507180,1230.42,1236.51,1228.93,1221.6377
2024-08-15,497060,1230.36,1231.69,1222.28,1224.872
2024-08-16,965060,1223.56,1253.24,1223.56,1221.7155
2024-08-19,698630,1252.23,1263.84,1252.23,1224.7449
2024-08-20,810160,1261.62,1275.95,1261.62,1247.7451
2024-08-21,836420,1272.55,1284.05,1268.91,1257.5165
2024-08-22,687370,1284.05,1288.42,1280.42,1266.2076
2024-08-23,724870,1282.78,1287.43,1276.43,1275.2013
2024-08-26,775470,1285.32,1290.45,1278.72,1273.371
2024-08-27,660800,1280.02,1282.92,1274.7,1275.7874
2024-08-28,717620,1280.56,1285.72,1276.9,1270.6245
2024-08-29,634090,1281.44,1288.2,1280.24,1272.1357
2024-08-30,571600,1281.47,1286.84,1281.47,1274.0088
2024-09-01,571600,1281.47,1286.84,1281.47,1274.0078
2024-09-02,571600,1281.47,1286.84,1281.47,1274.0078
2024-09-03,571600,1281.47,1286.84,1281.47,1274.0078
2024-09-04,648410,1283.87,1283.87,1268.43,1274.0078
2024-09-05,665630,1275.8,1282.21,1266.05,1270.8191
2024-09-06,637090,1268.21,1274.44,1262.94,1266.3593
2024-09-09,497550,1273.96,1273.96,1262.97,1260.3157
2024-09-10,690100,1267.73,1271.83,1252.22,1262.6587
2024-09-11,583750,1255.23,1256.86,1244.79,1256.527
2024-09-12,433680,1253.27,1260.93,1253.27,1245.2335
2024-09-13,482060,1256.35,1256.35,1248.78,1247.731
2024-09-16,608010,1251.71,1255.42,1239.26,1246.6534
2024-09-17,632200,1239.26,1258.95,1238.69,1241.8685
2024-09-18,799780,1258.95,1271.77,1257.93,1237.2563
2024-09-19,607580,1264.9,1271.27,1264.82,1254.2852
2024-09-20,898260,1271.27,1283.3,1271.27,1258.5938
2024-09-23,564220,1275.15,1276.99,1267.87,1266.1045
2024-09-24,817540,1268.48,1276.99,1266.68,1265.2502
2024-09-25,992830,1276.99,1288.44,1276.99,1262.0859
2024-09-26,956800,1290.03,1298.71,1289.15,1271.3329
2024-09-27,950800,1295.03,1300.31,1287.21,1282.501
2024-09-30,748400,1290.92,1292.03,1283.92,1284.4523
2024-10-01,982290,1287.94,1302.22,1287.94,1279.8712
